,Time,Tweet,User,Location,Retweets,Likes
33,2022-11-23 22:50:01+00:00,"@spiffgriff1 @RoannDreamer @AdamKinzinger @TuckerCarlson Fetterman? John Fetterman, recently elected stroke victim of Pennsylvania?",AshterFlackx,,0,0
34,2022-11-23 22:48:16+00:00,@NoLieWithBTC @CBS8 John Fetterman's spirit animal,JaySwizzleStick,Behind home plate,0,1
35,2022-11-23 22:44:49+00:00,"RT @OccupyDemocrats: BREAKING: Gisele Barreto Fetterman, wife of Senator-elect John Fetterman, shreds Republicans for criticizing her suppo…",BradBradkam1,,5742,0
36,2022-11-23 22:44:27+00:00,"RT @ChapsHarrys: Me, after waking up to find out vegetable John Fetterman won the election.",Silas84K,Wyoming,2,0
37,2022-11-23 22:42:27+00:00,@ReverendWarnock @wokesocieties @PoliticalOrgy @catturd2  @TheKuhnerReport   Haven’t you listened to John Fetterman or Resident Joe Biden? 🫣 If mixing up one letter means Hershel Walker isn’t ready to be Senator. What the heck does their babble mean then? 🤣,emanpatsfan,"Massachusetts, USA",0,0
38,2022-11-23 22:39:57+00:00,Dr. Anthony Fauci gives his last Covid-19 briefing as White House chief ... https://t.co/CiQu1InEX1 via @YouTube  Taking health advice from #Fauci is like taking speech therapy from #John #Fetterman,BilbosaurYT,"South Carolina, USA",0,0
39,2022-11-23 22:39:36+00:00,RT @staceyrosey22: @ProjectLincoln The people criticized John Fetterman for his speech challenges,The_Big_Johnson,WDC,3,0
40,2022-11-23 22:38:51+00:00,"@nathaliejacoby1 Well not Big John Fetterman unless it's First Class (John in 1st Class 🙄), definitely someone much smaller.",ATPJudge,"West Chester, Pa",0,0
41,2022-11-23 22:35:21+00:00,robert saleh reminds me of john fetterman,jsullo36,"Cockburn Island, Ontario",0,0
42,2022-11-23 22:34:30+00:00,"RT @erinmtoo: @CnclHalkias @HerschelWalker @GaRepublicans @PAGOP Remind me which senator you elected in Pennsylvania? 

Oh, yeah, that's ri…",k50cullen,,3,0
43,2022-11-23 22:32:51+00:00,"RT @ChapsHarrys: Me, after waking up to find out vegetable John Fetterman won the election.",NoContextFlair,,2,0
44,2022-11-23 22:31:39+00:00,RT @BAR0ke: @JoyAnnReid It makes me think the GOP’s expressions of “concern” about John Fetterman’s processing difficulties following his s…,2dogknight,,3,0
45,2022-11-23 22:30:00+00:00,"TBH, @JohnFetterman's style slaps. 👀
https://t.co/q7Uus6t4Jn",SpyDotCom,LA/NYC,0,1
46,2022-11-23 22:27:49+00:00,@ReverendWarnock Same with John fetterman or but that didn’t stop y’all,clopezhanley,,0,0
47,2022-11-23 22:27:33+00:00,"RT @SheldonRothMD1: Who is Today's Tammany Hall Boss Tweed?--$ Easily Corrupting Elections!

Elite Leftist Billionaires Like Soros/Zuckerbe…",BPGLPP,,80,0
48,2022-11-23 22:23:41+00:00,@DaveKluge i mean just john fetterman without facial hair. not fooling anyone,bute314,,0,2
49,2022-11-23 22:21:39+00:00,@ReganTheGun @CO_jan40 @RepBoebert Your party elected a dead man along with John Fetterman… don’t need to remind you who’s President… a guy that can’t put a sentence together!,RSic90896766,,0,0
50,2022-11-23 22:18:38+00:00,@ReverendWarnock John Fetterman is the prototype.,roob62658287,"Las Vegas, NV",0,0
51,2022-11-23 22:17:02+00:00,@TimRunsHisMouth John Fetterman.,GregoryLarmer,"California, USA",0,1
52,2022-11-23 22:16:20+00:00,@salvtore1972 @ReyCruz43299370 @IanGreenberg2 @FoxNews Sasquatch is smarter that John Fetterman!! https://t.co/NA2HVk6GfP,Ravevad1,,0,0
53,2022-11-23 22:16:12+00:00,@dealbook All you have to do is donate to get John Fetterman elected and the @NYTimes will run PR for you after screw your investors out of $3 billion,realOBF,Founded 1965 - ® 2016,1,5
54,2022-11-23 22:12:43+00:00,@harrisonjaime Ever see John Fetterman?,MaximusKurtimu2,,0,0
55,2022-11-23 22:06:34+00:00,@Jill62072902 @JDCocchiarella You are right. He certainly is no John Fetterman😂😂😂,ScottHo37628171,United States,0,1
56,2022-11-23 22:04:43+00:00,"@elonmusk I hear the practiced concept of work is coming back in a big way, someone alert Senator 👀 John Fetterman, he might want to do some ""rethinking!"" 🤔",TBaskys,Chicago suburb.,0,0
57,2022-11-23 22:03:15+00:00,@ReverendWarnock Paging John Fetterman....,CriticalMommXX,"right here, right now.",0,0
58,2022-11-23 22:03:01+00:00,@nathaliejacoby1 John Fetterman,MeganW30373169,,0,0
