,Time,Tweet,User,Location,Retweets,Likes
33,2022-11-23 20:20:28+00:00,@thedemsocmarul Dude? You need some help on a couple of these (JD Vance 💀),Dem_Soc_Dem_S,Texas,0,1
34,2022-11-23 20:16:40+00:00,@brithume JD Vance won.  How many did Mitch get on the Senate you absolute turd…..,SloanRitchey,,0,2
35,2022-11-23 20:16:14+00:00,RT @PalmerReport: JD Vance is making a fool of himself already https://t.co/ERNxnwxta0,burialdeferred,,79,0
36,2022-11-23 20:14:02+00:00,RT @PalmerReport: JD Vance is making a fool of himself already https://t.co/ERNxnwxta0,AnnMB48,England,79,0
37,2022-11-23 20:13:45+00:00,"@IBobomb @SingSec44 @RepJeffries I don't literally believe that. It's a meme. JD Vance won without cheating. So did everyone in Florida. But that's also dependent on what you consider cheating. If gerrymandering falls under that header, both sides are guilty, but Republicans much moreso",TheVXTian,"Philadelphia, PA",0,0
38,2022-11-23 20:10:49+00:00,@DavidPepper Thank you for sharing this....I'm still pissed JD Vance won....gerrymandering at its' best,jedderm,"Ohio, USA",0,0
39,2022-11-23 20:06:53+00:00,"@BarackObama A shame Ohio Supreme Court is corrupted with 3 Republican justices, one of whom is the governor’s son.   Deep red state except for a pocket in NW Ohio that smacked down an insurrectionist candidate for the House.  Rob Portman’s seat was paid for by Moscow Mitch for JD Vance",bukeyemama,,0,0
40,2022-11-23 20:05:09+00:00,"RT @capitolhunters: Thiel’s neo-fascist set
How does your anti-elite pose square with your pathetic degree-grubbing? Thiel’s lapdog JD Vanc…",DesiRN,"Summit, PA",584,0
41,2022-11-23 20:04:09+00:00,@TruckersVote JD Vance got elected here in Ohio by lying that Tim Ryan and the Democrats raised taxes on low to middle income Americans. Said they also wanted new IRS agents to go after middle class(not rich tax cheats!) BS made me want to throw something at the tv every time it came on.,tomthomas578,United States,0,1
42,2022-11-23 19:57:43+00:00,@DavidPepper Deplorable.  Wondering what explains how OH voters could elect JD Vance over Tim Ryan?  Something else is going on in OH that Dems need to figure out.,eadeere,,0,0
43,2022-11-23 19:36:42+00:00,"RT @capitolhunters: Thiel’s neo-fascist set
How does your anti-elite pose square with your pathetic degree-grubbing? Thiel’s lapdog JD Vanc…",wanderingmagus,Middle Earth,584,0
44,2022-11-23 19:30:55+00:00,@AEiffel95 @LRiddickESPN I don't know he may have voted for JD Vance.,bluucollarbro,locked out of paradise,0,0
45,2022-11-23 19:16:12+00:00,@DocSee3 i still dont get how ohio feel for the jd vance trap. they cant cry after he does nothing to help them and only cares about all the bull bleep from the maga base.,snackgod,livermore,0,0
46,2022-11-23 19:03:20+00:00,"RT @capitolhunters: Thiel’s neo-fascist set
How does your anti-elite pose square with your pathetic degree-grubbing? Thiel’s lapdog JD Vanc…",JayneHo30995128,United States,584,0
47,2022-11-23 19:02:53+00:00,"@Onlymaybenate @ET_Californian While JD Vance is slimy and unimaginably terrible, I’d trust him enough to eat a pudding cup unsupervised where I wouldn’t trust Walker.",demon_helpful,"Honolulu, HI",0,1
48,2022-11-23 18:52:30+00:00,"Why are Texans being paid to take over American States only residing 2 yrs if that?
Scott
Walker, etc…..
This is dirty money pool, we are not letting this Country get like screwed up like Texas.🤬🤬🤬🤬🤬🤬🤬🤬
Ted Cruz bad
Abbott bad man JD Vance. All evil people.",305SeaBird65,"Key Largo, FL",0,0
49,2022-11-23 18:52:13+00:00,RT @ihopetowin: Let's all focus on helping Senator #WarnockForGeorgia  win his run-off in Georgia! We don't need another unfit #MAGA #GOP p…,bming5,"Denver, colorado",108,0
50,2022-11-23 18:51:28+00:00,"@PeteJoh91494931 @realLizUSA JD Vance of Ohio. MAGA are just pissed on and looking for political and cultural(culture war) revenge… because they have dined on fear, hate and grievances sold to you by rush, Hannity Bannon ( who by the way are or were the media)… then MAGA and social media echo chambers. https://t.co/nUuZVDgfIe",MrGreen96385653,"Omaha, NE",0,0
51,2022-11-23 18:36:56+00:00,"My complaints about lack of acknowledgement of mass shootings are pointless, anyway, since we'd just get the same ""Jane and I are horrified by the violence..."" rhetoric. I think JD Vance will say things like guests of Tucker Carlson who claim the gays deserved what they got.💔",thockman64,"Columbus, OH",0,1
52,2022-11-23 18:35:28+00:00,RT @kreerpro: JD Vance came to Dayton. He decried the crime rate here (which is down 20% since 20) and that families can't come downtown fo…,findjacob,,2,0
53,2022-11-23 18:27:58+00:00,"Why would people vote early if they didn’t vote at all? GOP and DNC have totally ignored White people. White people turn out for good policies. Rob doesn’t want to talk about good policy tho and the GOP have none. 

JD Vance did well. He ran a populist campaign. Stop lying, Rob. https://t.co/379ETgLNji",NJPeterTefft,,0,10
54,2022-11-23 18:23:00+00:00,@demon_helpful @ET_Californian Idk if it's even possible but then JD Vance won the primary and general in Ohio so at this point nothing surprises me,Onlymaybenate,Ocean State,0,1
55,2022-11-23 18:07:21+00:00,RT @LahavHarkov: This is interesting https://t.co/TnIPCkDdII,reethanfreedman,Israel,5,0
56,2022-11-23 18:07:00+00:00,RT @LahavHarkov: This is interesting https://t.co/TnIPCkDdII,JoshKraushaar,"Washington, DC",5,0
57,2022-11-23 18:03:22+00:00,This is interesting https://t.co/TnIPCkDdII,LahavHarkov,Jerusalem\Tel Aviv,5,11
58,2022-11-23 17:59:14+00:00,"JD Vance is making a fool of himself already https://t.co/vBMlwOCwD0 via @PalmerReport 
This is especially nauseating in view of Vance’s sugar-daddies, Thiel and McConnell.",SIwanisziw,massachusetts usa,0,0
59,2022-11-23 17:56:22+00:00,RT @PalmerReport: JD Vance is making a fool of himself already https://t.co/ERNxnwxta0,TechlibTate,USA,79,0
60,2022-11-23 17:48:54+00:00,RT @ihopetowin: Let's all focus on helping Senator #WarnockForGeorgia  win his run-off in Georgia! We don't need another unfit #MAGA #GOP p…,scotchmac1,"Wisconsin, USA",108,0
61,2022-11-23 17:24:58+00:00,@MichaelFromIL @MillerStanIL Not saying I support it but that’s the likely outcome and in Ohio don’t be surprised if the people in power don’t get punished JD Vance won by 6.5 against an amazing dem candidate so I don’t think there’s hope for the Ohio democrats,Kadenfarr,Ur moms house ,0,0
62,2022-11-23 17:23:02+00:00,"RT @RichardMThomps1: @ElieNYC Had Merrick Garland is not the coward that he is, and prosecuted the white nationalist former republican pres…",psychwriter1515,"Portland, OR",5,0
63,2022-11-23 17:19:55+00:00,JD Vance is making a fool of himself already - Palmer Report https://t.co/WRFTZeTcyw,RiskAlert,"Parkland, FL",0,0
64,2022-11-23 17:11:33+00:00,"RT @MyDogsMom12: @itsJeffTiedrich Their names are Greg Abbott, Ron DeSantis, Marjorie Taylor Greene, Matt Gaetz, Ron Johnson, JD Vance, Pet…",BruceJe90794968,,2,0
65,2022-11-23 17:06:42+00:00,RT @ihopetowin: Let's all focus on helping Senator #WarnockForGeorgia  win his run-off in Georgia! We don't need another unfit #MAGA #GOP p…,TwitRitter,"Colorado, USA",108,0
66,2022-11-23 17:04:59+00:00,RT @ihopetowin: Let's all focus on helping Senator #WarnockForGeorgia  win his run-off in Georgia! We don't need another unfit #MAGA #GOP p…,patsdunc,Colorado,108,0
67,2022-11-23 16:45:12+00:00,"@KDunke @mattgaetz I like Matt Gaetz, JD Vance, Jim Jordan, ect… every Trump endorsed Republican candidate I like. The only thing I’m against is the war in Ukraine and Republicans need to stop supporting the war in Ukraine.",CKGMJG777,,0,0
68,2022-11-23 16:39:50+00:00,RT @PalmerReport: JD Vance is making a fool of himself already https://t.co/ERNxnwxta0,ja90222579,,79,0
69,2022-11-23 16:36:44+00:00,RT @PalmerReport: JD Vance is making a fool of himself already https://t.co/ERNxnwxta0,JrHollis60,,79,0
70,2022-11-23 16:26:50+00:00,RT @PalmerReport: JD Vance is making a fool of himself already https://t.co/ERNxnwxta0,MaryNesham,Central Ohio,79,0
